trial_id,trial_dir,method,scenario,lighting,group_type,gesture_label,trigger_family,trial_index,round_index,valid_capture,missed,n_frames,segmentation_purity_percent,predicted_label,inference_correct,recognition_efficiency
20260508.180229.589403,metric_tests\baseline_manual\wrist_trigger\20260508.180229.589403,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,1,1,True,False,46,73.33333333333333,SwipeU,1,65.21739130434783
20260508.180232.179022,metric_tests\baseline_manual\wrist_trigger\20260508.180232.179022,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,2,2,True,False,50,4.081632653061225,SwipeU,1,60.0
20260508.180234.978766,metric_tests\baseline_manual\wrist_trigger\20260508.180234.978766,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,3,3,True,False,55,9.25925925925926,SwipeU,1,54.54545454545454
20260508.180237.587479,metric_tests\baseline_manual\wrist_trigger\20260508.180237.587479,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,4,4,True,False,50,8.16326530612245,SwipeU,1,60.0
20260508.180240.643395,metric_tests\baseline_manual\wrist_trigger\20260508.180240.643395,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,5,5,True,False,58,5.263157894736842,SwipeU,1,51.724137931034484
20260508.180245.714586,metric_tests\baseline_manual\wrist_trigger\20260508.180245.714586,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,6,1,True,False,73,9.722222222222223,SwipeU,0,0.0
20260508.180248.819740,metric_tests\baseline_manual\wrist_trigger\20260508.180248.819740,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,7,2,True,False,64,3.1746031746031744,swipeL,0,0.0
20260508.180251.682926,metric_tests\baseline_manual\wrist_trigger\20260508.180251.682926,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,8,3,True,False,57,1.7857142857142856,SwipeD,1,52.63157894736842
20260508.180254.706414,metric_tests\baseline_manual\wrist_trigger\20260508.180254.706414,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,9,4,True,False,59,3.4482758620689653,SwipeD,1,50.847457627118644
20260508.180258.035898,metric_tests\baseline_manual\wrist_trigger\20260508.180258.035898,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,10,5,True,False,59,5.172413793103448,SwipeD,1,50.847457627118644
20260508.180301.059039,metric_tests\baseline_manual\wrist_trigger\20260508.180301.059039,baseline_manual,wrist_trigger,normal,trigger,swipeL,wrist_trigger,11,1,True,False,61,68.33333333333333,swipeL,1,49.18032786885246
20260508.180304.050955,metric_tests\baseline_manual\wrist_trigger\20260508.180304.050955,baseline_manual,wrist_trigger,normal,trigger,swipeL,wrist_trigger,12,2,True,False,56,1.8181818181818181,swipeL,1,53.57142857142857
20260508.180307.683365,metric_tests\baseline_manual\wrist_trigger\20260508.180307.683365,baseline_manual,wrist_trigger,normal,trigger,swipeL,wrist_trigger,13,3,True,False,67,3.0303030303030303,swipeL,1,44.776119402985074
20260508.180311.171583,metric_tests\baseline_manual\wrist_trigger\20260508.180311.171583,baseline_manual,wrist_trigger,normal,trigger,swipeL,wrist_trigger,14,4,True,False,59,1.7241379310344827,swipeR,0,0.0
20260508.180315.554928,metric_tests\baseline_manual\wrist_trigger\20260508.180315.554928,baseline_manual,wrist_trigger,normal,trigger,swipeL,wrist_trigger,15,5,True,False,72,1.4084507042253522,swipeR,0,0.0
20260508.180319.763489,metric_tests\baseline_manual\wrist_trigger\20260508.180319.763489,baseline_manual,wrist_trigger,normal,trigger,swipeR,wrist_trigger,16,1,True,False,54,32.075471698113205,swipeL,0,0.0
20260508.180322.723640,metric_tests\baseline_manual\wrist_trigger\20260508.180322.723640,baseline_manual,wrist_trigger,normal,trigger,swipeR,wrist_trigger,17,2,True,False,51,6.0,swipeL,0,0.0
20260508.180325.795268,metric_tests\baseline_manual\wrist_trigger\20260508.180325.795268,baseline_manual,wrist_trigger,normal,trigger,swipeR,wrist_trigger,18,3,True,False,55,9.25925925925926,swipeL,0,0.0
20260508.180328.787837,metric_tests\baseline_manual\wrist_trigger\20260508.180328.787837,baseline_manual,wrist_trigger,normal,trigger,swipeR,wrist_trigger,19,4,True,False,58,7.017543859649122,swipeL,0,0.0
20260508.180331.682954,metric_tests\baseline_manual\wrist_trigger\20260508.180331.682954,baseline_manual,wrist_trigger,normal,trigger,swipeR,wrist_trigger,20,5,True,False,57,16.071428571428573,swipeL,0,0.0
20260508.175804.556641,metric_tests\proposed_auto\dim\20260508.175804.556641,proposed_auto,dim,dim,lighting,SwipeU,wrist_trigger,1,1,True,False,22,66.66666666666666,SwipeU,1,100.0
20260508.175809.067337,metric_tests\proposed_auto\dim\20260508.175809.067337,proposed_auto,dim,dim,lighting,SwipeU,wrist_trigger,2,2,True,False,24,82.6086956521739,SwipeU,1,100.0
20260508.175817.581804,metric_tests\proposed_auto\dim\20260508.175817.581804,proposed_auto,dim,dim,lighting,SwipeU,wrist_trigger,3,3,True,False,21,75.0,SwipeU,1,100.0
20260508.175825.293023,metric_tests\proposed_auto\dim\20260508.175825.293023,proposed_auto,dim,dim,lighting,SwipeU,wrist_trigger,4,4,True,False,20,68.42105263157895,SwipeU,1,100.0
20260508.175834.394887,metric_tests\proposed_auto\dim\20260508.175834.394887,proposed_auto,dim,dim,lighting,SwipeU,wrist_trigger,5,5,True,False,21,80.0,SwipeU,1,100.0
